repetitions,threads,64,128,256,512,1024
100,1,1965,6880,25690,88636,382860
100,2,1512,3871,12643,48171,191638
100,4,2284,5350,15964,62326,227137
100,8,10649,18355,26606,76852,229509
500,1,10133,33113,115258,440220,1927313
500,2,7479,18576,62177,232714,949176
500,4,8831,18540,61829,226357,901106
500,8,107724,79388,137570,354318,942253
1000,1,20201,62541,228028,889027,4212478
1000,2,14123,35846,119590,465545,1891524
1000,4,14364,38793,118161,441624,1902606
1000,8,127788,168734,256917,590223,2009959
5000,1,92444,300268,1130674,4433710,20823180
5000,2,64891,169865,607852,2305790,10088468
5000,4,62268,164933,577012,2339444,10110415
5000,8,624497,689695,1159951,2923079,10427902
10000,1,173323,596301,2262518,8851238,36818328
10000,2,124978,341303,1198904,4599986,20751852
10000,4,123132,329978,1150128,4823811,20776866
10000,8,1210169,1266760,2295484,6060810,21425679
50000,1,843132,3022719,11361384,44213555,183697738
50000,2,614919,1684775,5996803,25199406,108056508
50000,4,587494,1628202,5785644,24220083,104674074
50000,8,5702428,6485123,11339715,31384771,110194495
