,,64,128,256,512,1024
100,1,1997.75,10053.25,31852.75,89857.25,397553.75
100,2,1543.5,3946.5,13268.75,58471.5,191189.0
100,4,3081.25,4509.5,14884.5,61979.25,202920.75
100,8,13803.5,16712.25,34568.5,72043.75,226524.25
500,1,9896.25,33695.75,116137.5,444176.0,1887180.25
500,2,7095.0,18847.5,61532.25,283149.75,952130.5
500,4,9085.0,19283.75,60845.75,256858.75,887370.25
500,8,77624.25,87217.0,127172.0,312085.75,943266.25
1000,1,24110.0,63070.0,228953.0,893775.25,3955774.25
1000,2,13537.75,36372.0,121182.5,568762.0,1913167.25
1000,4,15512.5,37093.75,118408.5,516278.5,1840959.5
1000,8,132844.5,180062.5,261410.25,581262.5,2016784.75
5000,1,90177.25,301513.5,1136843.0,4530538.5,19307620.0
5000,2,64005.5,171635.5,605411.5,3051744.25,10297104.25
5000,4,62519.25,165544.25,573376.0,2618821.75,10200858.0
5000,8,629982.25,701047.5,1158511.5,2911227.0,10609398.25
10000,1,175045.25,603166.5,2272005.5,8974406.75,36906586.25
10000,2,121970.25,342445.75,1208315.25,5725619.25,20982333.0
10000,4,121519.25,328508.75,1150634.75,5237128.75,20710732.0
10000,8,1193070.5,1354068.0,2230073.25,6510733.0,21472165.75
50000,1,856705.5,3024669.5,11372565.75,44775048.0,185733574.5
50000,2,609347.0,1733064.25,6122803.75,26349601.75,109133034.75
50000,4,585736.75,1619807.0,5898719.5,24900841.0,104638714.25
50000,8,5717678.0,6792492.5,11143534.0,31630962.75,109974844.0
